iter	MultiClass
228	0.4510414693
229	0.4504738631
230	0.4497032948
231	0.449018129
232	0.4481623353
233	0.4476586266
234	0.4465260538
235	0.4459347943
236	0.4453808364
237	0.4442073334
238	0.4433868806
239	0.4428701631
240	0.4424278039
241	0.4418471568
242	0.441171511
243	0.4404716255
244	0.4397540756
245	0.4392863624
246	0.4386705299
247	0.4379308691
248	0.4372752853
249	0.4367434711
250	0.4360110167
251	0.4352552094
252	0.4346513027
253	0.4339788382
254	0.4334254923
255	0.4328304797
256	0.4324187059
257	0.4318165749
258	0.4309858495
259	0.4304475028
260	0.4297072521
261	0.4290665171
262	0.4283026755
263	0.4276699183
264	0.4271012773
265	0.4265600735
266	0.4261094209
267	0.4252813896
268	0.4245529317
269	0.4240879672
270	0.4235428263
271	0.4229662543
272	0.4225029896
273	0.4220160743
274	0.4213698819
275	0.4209597585
276	0.4203995934
277	0.4200564744
278	0.419548387
279	0.4188871622
280	0.4184988085
281	0.4180915268
282	0.4174920864
283	0.4170518064
284	0.416436019
285	0.4158944004
286	0.415661266
287	0.4151089076
288	0.4144520212
289	0.413977616
290	0.4133406402
291	0.4128477971
292	0.4124135202
293	0.4120754445
294	0.4114775606
295	0.4110655248
296	0.41061362
297	0.4100365893
298	0.4095917013
299	0.4090098319
300	0.4082592644
301	0.4077634175
302	0.4072440116
303	0.4067258948
304	0.4063248457
305	0.405824409
306	0.4052215662
307	0.4046724725
308	0.4041814028
309	0.4037393266
310	0.4031864261
311	0.4026237728
312	0.4020524328
313	0.401365509
314	0.4008227882
315	0.3999596771
316	0.3996272323
317	0.3991311996
318	0.3988290592
319	0.3984571458
320	0.3981536832
321	0.3978539229
322	0.3974443612
323	0.3968318591
324	0.396369483
325	0.3957711318
326	0.3952626812
327	0.3948233628
328	0.394316281
329	0.3938706648
330	0.3933159779
331	0.3928662123
332	0.3925788964
333	0.3923818042
334	0.3921836637
335	0.3918464129
336	0.3913851607
337	0.3909973714
338	0.3904085139
339	0.3901187814
340	0.3896041256
341	0.3893179915
342	0.3888923977
343	0.3885972878
344	0.3880984215
345	0.3877794005
346	0.3874214803
347	0.3869006397
348	0.3863307262
349	0.385946166
350	0.3855359201
351	0.3851190379
352	0.3846851997
353	0.3842446568
354	0.3837939461
355	0.3834101389
356	0.3828397517
357	0.3824835631
358	0.3821718198
359	0.381883103
360	0.3813718402
361	0.3809534147
362	0.3805548581
363	0.3802974706
364	0.3799136053
365	0.3793824055
366	0.3791425695
367	0.378672672
368	0.3781359877
369	0.3777592869
370	0.3774429853
371	0.3771301053
372	0.3767141837
373	0.3763400555
374	0.3759464656
375	0.3755109855
376	0.3751413037
377	0.3747339546
378	0.3743095489
379	0.3739818489
380	0.373753656
381	0.3733744431
382	0.3728900992
383	0.3724575003
384	0.3720662186
385	0.3716203213
386	0.3711357159
387	0.3707761973
388	0.3704739321
389	0.370024899
390	0.3695734392
391	0.3692958
392	0.3689800848
393	0.3686200743
394	0.3682907211
395	0.3679099359
396	0.3675449406
397	0.3672240269
398	0.3668643541
399	0.3664171013
